--Inicio de ejecucion--
INFO- 11/10/2014   06:11:30 -INFO
11/10/2014   06:11:30-User Game.cpp INFO:Inicilizando componentes SDL
11/10/2014   06:11:31-User Game.cpp INFO:SDL Initialize: OK
11/10/2014   06:11:32-User Game.cpp INFO:Ventana creada
11/10/2014   06:11:32-User Game.cpp INFO:Inicializado SDL_image
11/10/2014   06:11:32-User Game.cpp INFO:Inicializado SDL_ttf
11/10/2014   06:11:32-User Game.cpp INFO:Componentes SDL Inicializados!
--Inicio de ejecucion--
INFO- 11/10/2014   06:14:59 -INFO
11/10/2014   06:14:59-User Game.cpp INFO:Inicilizando componentes SDL
11/10/2014   06:14:59-User Game.cpp INFO:SDL Initialize: OK
11/10/2014   06:14:59-User Game.cpp INFO:Ventana creada
11/10/2014   06:14:59-User Game.cpp INFO:Inicializado SDL_image
11/10/2014   06:14:59-User Game.cpp INFO:Inicializado SDL_ttf
11/10/2014   06:14:59-User Game.cpp INFO:Componentes SDL Inicializados!
--Inicio de ejecucion--
INFO- 11/10/2014   06:19:01 -INFO
11/10/2014   06:19:01-User Game.cpp INFO:Inicilizando componentes SDL
11/10/2014   06:19:01-User Game.cpp INFO:SDL Initialize: OK
11/10/2014   06:19:01-User Game.cpp INFO:Ventana creada
11/10/2014   06:19:01-User Game.cpp INFO:Inicializado SDL_image
11/10/2014   06:19:01-User Game.cpp INFO:Inicializado SDL_ttf
11/10/2014   06:19:01-User Game.cpp INFO:Componentes SDL Inicializados!
--Inicio de ejecucion--
INFO- 11/10/2014   06:25:00 -INFO
11/10/2014   06:25:00-User Game.cpp INFO:Inicilizando componentes SDL
11/10/2014   06:25:00-User Game.cpp INFO:SDL Initialize: OK
11/10/2014   06:25:00-User Game.cpp INFO:Ventana creada
11/10/2014   06:25:00-User Game.cpp INFO:Inicializado SDL_image
11/10/2014   06:25:00-User Game.cpp INFO:Inicializado SDL_ttf
11/10/2014   06:25:00-User Game.cpp INFO:Componentes SDL Inicializados!
--Inicio de ejecucion--
INFO- 11/10/2014   06:25:27 -INFO
11/10/2014   06:25:27-User Game.cpp INFO:Inicilizando componentes SDL
11/10/2014   06:25:27-User Game.cpp INFO:SDL Initialize: OK
11/10/2014   06:25:27-User Game.cpp INFO:Ventana creada
11/10/2014   06:25:27-User Game.cpp INFO:Inicializado SDL_image
11/10/2014   06:25:27-User Game.cpp INFO:Inicializado SDL_ttf
11/10/2014   06:25:27-User Game.cpp INFO:Componentes SDL Inicializados!
--Inicio de ejecucion--
INFO- 11/10/2014   06:27:26 -INFO
11/10/2014   06:27:26-User Game.cpp INFO:Inicilizando componentes SDL
11/10/2014   06:27:26-User Game.cpp INFO:SDL Initialize: OK
11/10/2014   06:27:26-User Game.cpp INFO:Ventana creada
11/10/2014   06:27:27-User Game.cpp INFO:Inicializado SDL_image
11/10/2014   06:27:27-User Game.cpp INFO:Inicializado SDL_ttf
11/10/2014   06:27:27-User Game.cpp INFO:Componentes SDL Inicializados!
--Inicio de ejecucion--
INFO- 11/10/2014   06:32:48 -INFO
11/10/2014   06:32:48-User Game.cpp INFO:Inicilizando componentes SDL
11/10/2014   06:32:48-User Game.cpp INFO:SDL Initialize: OK
11/10/2014   06:32:48-User Game.cpp INFO:Ventana creada
11/10/2014   06:32:48-User Game.cpp INFO:Inicializado SDL_image
11/10/2014   06:32:48-User Game.cpp INFO:Inicializado SDL_ttf
11/10/2014   06:32:48-User Game.cpp INFO:Componentes SDL Inicializados!
--Inicio de ejecucion--
INFO- 11/10/2014   23:49:36 -INFO
